0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:18 +0900] "GET /bookrental/css/login.css HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:18 +0900] "GET /bookrental/image/login.jpg HTTP/1.1" 200 3383
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:18 +0900] "GET /bookrental/script/member.js HTTP/1.1" 200 5278
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:18 +0900] "GET /bookrental/image/ico_loginID.png HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:18 +0900] "GET /bookrental/image/ico_loginPW.png HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:18 +0900] "GET /bookrental/image/svisual_img.png HTTP/1.1" 200 557201
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:18 +0900] "GET /bookrental/image/ico_naviArrow.png HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:21 +0900] "POST /bookrental/BookServlet?command=logincheck HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:21 +0900] "GET /bookrental/BookServlet?command=book_main HTTP/1.1" 200 7264
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:21 +0900] "GET /bookrental/image/%EA%BC%AC%EB%A7%88%EB%84%93%EC%A0%81%EC%82%AC%EC%8A%B4%EB%B2%8C%EB%A0%881.jpg HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:21 +0900] "GET /bookrental/image/%EA%BC%AC%EB%A7%88%EB%84%93%EC%A0%81%EC%82%AC%EC%8A%B4%EB%B2%8C%EB%A0%881.jpg HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:23 +0900] "GET /bookrental/BookServlet?command=admin_main HTTP/1.1" 200 5198
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:23 +0900] "GET /bookrental/script/adminNav.js HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:23 +0900] "GET /bookrental/css/adminPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:23 +0900] "GET /bookrental/img/ico_naviArrow.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:26 +0900] "GET /bookrental/BookServlet?command=subscr_list HTTP/1.1" 200 8846
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:26 +0900] "GET /bookrental/css/subscrList.css HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:26 +0900] "GET /bookrental/script/book.js HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:27 +0900] "GET /bookrental/BookServlet?command=subscr_update_form&subscrid=8 HTTP/1.1" 200 7283
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:42:27 +0900] "GET /bookrental/css/subscrUpdate.css HTTP/1.1" 200 3036
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:43:06 +0900] "GET /bookrental/BookServlet?command=subscr_update_form&subscrid=8 HTTP/1.1" 200 7283
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:43:06 +0900] "GET /bookrental/css/subscrUpdate.css HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:43:15 +0900] "GET /bookrental/BookServlet?command=subscr_update_form&subscrid=8 HTTP/1.1" 200 7283
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:43:15 +0900] "GET /bookrental/css/subscrUpdate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:43:16 +0900] "GET /bookrental/BookServlet?command=subscr_update_form&subscrid=8 HTTP/1.1" 200 7283
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:43:16 +0900] "GET /bookrental/css/subscrUpdate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:44:24 +0900] "GET /bookrental/BookServlet?command=subscr_update_form&subscrid=8 HTTP/1.1" 200 7283
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:44:24 +0900] "GET /bookrental/css/subscrUpdate.css HTTP/1.1" 200 3187
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:44:37 +0900] "GET /bookrental/BookServlet?command=subscr_update_form&subscrid=8 HTTP/1.1" 200 7283
